concessionaria;identificador;rodovia;uf;km_m;municipio;tipo_de_pista;latitude;longitude;data_de_passagem;sentido_da_passagem;faixa_da_passagem;faixa_de_velocidade;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"51 - 80 KM/h";"Veículo leve";14567
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"51 - 80 KM/h";"Veículo pesado";1690
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"81 - 100 KM/h";"Moto";566
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"81 - 100 KM/h";"Veículo leve";10895
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"81 - 100 KM/h";"Veículo pesado";171
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"<= 20 KM/h";"Veículo pesado";1
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"> 160 KM/h";"Moto";5
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"> 160 KM/h";"Veículo leve";6
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"> 160 KM/h";"Veículo pesado";6
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"101 - 120 KM/h";"Moto";248
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"101 - 120 KM/h";"Veículo leve";2734
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"101 - 120 KM/h";"Veículo pesado";21
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"121 - 140 KM/h";"Moto";29
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo leve";205
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo pesado";9
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"141 - 160 KM/h";"Moto";4
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"141 - 160 KM/h";"Veículo leve";22
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"141 - 160 KM/h";"Veículo pesado";4
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"21 - 50 KM/h";"Moto";14
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"21 - 50 KM/h";"Veículo leve";431
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"21 - 50 KM/h";"Veículo pesado";294
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"51 - 80 KM/h";"Moto";636
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"51 - 80 KM/h";"Veículo leve";11339
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"51 - 80 KM/h";"Veículo pesado";2652
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"81 - 100 KM/h";"Moto";832
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"28/03/2022";"Crescente";1;"81 - 100 KM/h";"Veículo leve";11474
